drug_a_molecular_weight,drug_a_solubility,drug_a_half_life,drug_a_category,drug_b_category,patient_age_group,interaction_severity
380.03,0.36,64.2,antibiotic,cardiovascular,31-50,none
215.87,24.65,7.02,anti-inflammatory,antibiotic,31-50,mild
650.14,12.58,34.42,antidepressant,antidepressant,31-50,none
729.93,26.87,20.13,cardiovascular,antiviral,51-70,mild
432.07,18.03,62.81,antibiotic,analgesic,18-30,mild
176.17,19.79,53.82,analgesic,antibiotic,51-70,moderate
788.9,6.03,35.72,cardiovascular,antiviral,51-70,none
361.18,38.24,63.61,anti-inflammatory,antiviral,70+,mild
221.33,5.48,2.5,antibiotic,antidepressant,31-50,none
648.8,11.9,49.16,antidepressant,cardiovascular,70+,severe
338.15,24.35,55.02,antibiotic,anti-inflammatory,18-30,none
482.31,12.55,55.44,antidepressant,antiviral,18-30,none
609.2,40.52,50.78,anti-inflammatory,anti-inflammatory,18-30,none
795.16,29.6,46.05,antibiotic,analgesic,18-30,severe
753.91,21.37,44.77,analgesic,analgesic,31-50,mild
491.23,35.04,70.59,antibiotic,antidepressant,31-50,mild
183.58,5.59,26.81,antidepressant,antiviral,31-50,none
357.9,2.47,3.9,analgesic,antiviral,51-70,none
740.51,5.13,14.12,cardiovascular,antidepressant,31-50,severe
222.49,33.48,49.49,antibiotic,antidepressant,31-50,none
532.79,30.28,17.92,antidepressant,antibiotic,31-50,none
206.7,5.41,45.7,anti-inflammatory,analgesic,18-30,moderate
681.32,9.73,32.65,analgesic,analgesic,70+,none
552.36,15.14,34.67,antibiotic,anti-inflammatory,51-70,moderate
507.82,12.7,63.27,anti-inflammatory,antidepressant,70+,none
441.51,35.89,65.67,analgesic,cardiovascular,31-50,moderate
164.22,30.0,50.47,antibiotic,antidepressant,18-30,none
518.01,39.74,50.26,antiviral,cardiovascular,31-50,none
198.74,21.94,37.16,anti-inflammatory,cardiovascular,31-50,none
326.47,9.28,12.36,antibiotic,anti-inflammatory,51-70,moderate
446.04,35.42,38.28,antidepressant,antibiotic,31-50,none
324.53,6.04,16.9,anti-inflammatory,antibiotic,31-50,none
330.54,6.74,63.01,analgesic,antiviral,70+,none
793.2,10.58,9.25,antiviral,antidepressant,51-70,moderate
765.18,44.21,19.75,antibiotic,cardiovascular,70+,none
341.68,49.26,45.44,analgesic,antidepressant,18-30,none
781.54,26.92,70.49,anti-inflammatory,analgesic,51-70,none
597.28,47.29,19.27,antiviral,antiviral,51-70,mild
360.77,10.28,45.72,cardiovascular,antibiotic,31-50,mild
624.38,21.75,11.53,cardiovascular,analgesic,31-50,none
264.47,28.53,67.98,antibiotic,antiviral,31-50,moderate
351.6,44.27,59.04,antiviral,anti-inflammatory,18-30,none
445.77,32.29,29.58,antiviral,anti-inflammatory,18-30,mild
637.79,0.69,8.08,cardiovascular,analgesic,18-30,severe
757.54,6.7,55.68,antidepressant,antibiotic,70+,mild
539.76,39.64,1.67,analgesic,anti-inflammatory,51-70,none
281.51,24.07,40.96,cardiovascular,antibiotic,31-50,mild
461.29,12.27,39.59,antidepressant,antiviral,31-50,none
504.02,5.22,63.94,cardiovascular,antibiotic,18-30,none
295.8,11.41,28.36,antidepressant,antiviral,31-50,mild
596.4,35.77,65.01,cardiovascular,antibiotic,70+,none
295.94,47.83,21.01,analgesic,anti-inflammatory,31-50,none
205.12,2.26,11.73,cardiovascular,anti-inflammatory,31-50,mild
267.89,21.32,64.41,antiviral,antidepressant,51-70,none
326.21,25.01,27.21,antidepressant,antiviral,51-70,moderate
662.76,43.1,70.44,antiviral,antibiotic,31-50,mild
660.6,23.97,5.78,anti-inflammatory,cardiovascular,70+,moderate
331.01,4.61,71.63,antibiotic,cardiovascular,31-50,none
782.35,30.13,46.2,antibiotic,antiviral,70+,moderate
399.07,27.51,39.25,cardiovascular,anti-inflammatory,31-50,none
614.7,26.39,56.14,antiviral,antibiotic,51-70,moderate
302.88,0.24,71.57,analgesic,antidepressant,31-50,moderate
188.73,17.53,61.26,antibiotic,antidepressant,31-50,none
692.91,27.62,67.13,cardiovascular,antibiotic,18-30,none
226.2,34.82,11.16,antiviral,analgesic,51-70,moderate
426.06,2.8,8.53,anti-inflammatory,analgesic,31-50,none
245.48,7.15,18.4,analgesic,anti-inflammatory,51-70,none
420.72,38.29,34.35,antibiotic,antiviral,31-50,severe
619.66,22.25,46.78,analgesic,antidepressant,18-30,none
189.0,32.16,43.9,antibiotic,anti-inflammatory,18-30,none
766.36,22.77,51.51,antidepressant,anti-inflammatory,31-50,mild
611.08,21.24,12.13,analgesic,anti-inflammatory,31-50,moderate
410.26,2.89,28.85,antiviral,anti-inflammatory,51-70,none
200.19,34.65,34.9,antiviral,antiviral,31-50,none
391.46,21.27,20.16,analgesic,analgesic,31-50,none
656.22,16.84,18.01,antibiotic,anti-inflammatory,18-30,mild
741.3,9.47,15.32,analgesic,antibiotic,31-50,none
784.83,28.28,41.03,cardiovascular,analgesic,18-30,moderate
787.35,37.61,69.07,anti-inflammatory,antibiotic,31-50,moderate
403.92,17.86,10.2,antiviral,analgesic,31-50,mild
476.42,38.78,2.68,cardiovascular,cardiovascular,31-50,none
703.82,14.58,11.76,cardiovascular,analgesic,70+,severe
724.86,40.39,47.45,antiviral,antibiotic,70+,severe
476.05,49.61,44.22,anti-inflammatory,antidepressant,31-50,mild
555.26,47.01,3.84,antiviral,antiviral,31-50,mild
285.73,30.56,6.32,antibiotic,anti-inflammatory,51-70,none
242.7,43.54,39.85,analgesic,cardiovascular,18-30,mild
353.92,46.71,12.46,antidepressant,anti-inflammatory,31-50,none
651.76,12.97,34.6,antidepressant,cardiovascular,51-70,severe
241.29,6.29,41.38,analgesic,antidepressant,70+,none
746.14,6.54,27.04,anti-inflammatory,antidepressant,31-50,moderate
593.43,25.35,19.66,antiviral,analgesic,51-70,none
309.13,41.08,1.56,analgesic,antidepressant,31-50,none
520.59,42.71,16.84,cardiovascular,antiviral,18-30,none
735.08,23.3,7.09,antiviral,analgesic,70+,mild
749.62,38.43,15.16,antidepressant,analgesic,31-50,moderate
606.49,23.86,20.76,analgesic,anti-inflammatory,18-30,none
455.48,32.05,23.73,analgesic,anti-inflammatory,51-70,moderate
663.21,48.93,16.15,antibiotic,analgesic,70+,mild
594.39,13.57,46.13,analgesic,antibiotic,18-30,none
612.93,43.58,38.26,antiviral,antidepressant,18-30,none
184.93,44.76,31.43,antidepressant,antibiotic,18-30,mild
498.08,39.21,69.56,cardiovascular,antidepressant,70+,moderate
520.71,41.17,40.82,anti-inflammatory,antibiotic,18-30,none
360.43,49.32,67.67,antiviral,antiviral,51-70,none
159.22,44.84,67.3,cardiovascular,antidepressant,18-30,severe
488.45,0.28,32.99,antibiotic,antiviral,31-50,moderate
780.15,4.96,16.52,antibiotic,cardiovascular,51-70,mild
290.49,10.57,14.57,antiviral,anti-inflammatory,70+,none
390.67,18.25,22.44,antidepressant,anti-inflammatory,51-70,mild
799.38,20.76,25.97,anti-inflammatory,cardiovascular,31-50,mild
647.3,5.76,13.48,cardiovascular,antidepressant,18-30,mild
398.02,42.27,49.89,cardiovascular,antiviral,31-50,none
553.24,46.26,61.85,analgesic,analgesic,18-30,severe
217.39,37.52,45.29,anti-inflammatory,analgesic,51-70,none
477.18,40.31,48.41,cardiovascular,antibiotic,18-30,none
277.11,23.53,9.84,cardiovascular,cardiovascular,70+,mild
569.16,39.25,29.1,antidepressant,antibiotic,31-50,none
349.81,45.14,65.56,antiviral,antibiotic,18-30,severe
740.89,1.73,2.86,antidepressant,anti-inflammatory,51-70,none
773.45,49.64,18.17,cardiovascular,antibiotic,51-70,none
405.66,2.67,67.17,cardiovascular,antibiotic,70+,none
412.03,15.97,12.25,antibiotic,analgesic,51-70,mild
232.11,6.01,41.96,cardiovascular,antiviral,70+,none
359.56,4.75,2.82,analgesic,antiviral,51-70,none
249.48,30.94,39.6,analgesic,anti-inflammatory,31-50,none
444.91,31.61,26.43,antibiotic,antiviral,70+,mild
343.0,26.82,18.41,cardiovascular,antidepressant,51-70,moderate
557.83,31.96,42.13,analgesic,analgesic,31-50,severe
537.33,5.44,21.05,antibiotic,analgesic,18-30,mild
285.18,5.12,57.48,cardiovascular,analgesic,31-50,none
556.69,10.59,30.81,antidepressant,antiviral,70+,mild
156.59,9.02,41.28,anti-inflammatory,analgesic,18-30,none
372.83,17.4,71.64,anti-inflammatory,anti-inflammatory,18-30,none
229.04,30.34,39.05,anti-inflammatory,anti-inflammatory,51-70,none
290.6,18.31,64.8,analgesic,antidepressant,18-30,mild
232.28,13.76,15.15,analgesic,antidepressant,51-70,mild
573.75,23.41,58.44,cardiovascular,anti-inflammatory,70+,mild
278.62,42.32,51.94,cardiovascular,analgesic,31-50,mild
648.19,15.65,57.38,antiviral,cardiovascular,31-50,none
326.59,16.01,8.64,cardiovascular,cardiovascular,18-30,none
379.4,44.9,59.17,cardiovascular,antibiotic,70+,mild
416.38,30.23,63.28,anti-inflammatory,antidepressant,31-50,none
224.52,40.47,31.49,antibiotic,antidepressant,18-30,none
244.28,15.79,1.68,antiviral,analgesic,51-70,mild
288.95,28.42,23.83,antibiotic,anti-inflammatory,18-30,none
291.35,28.09,51.85,antiviral,analgesic,31-50,none
570.08,34.14,31.9,antidepressant,antibiotic,18-30,none
793.67,21.12,9.81,antibiotic,anti-inflammatory,31-50,none
398.86,28.86,21.24,antiviral,anti-inflammatory,70+,mild
697.07,20.2,64.6,anti-inflammatory,analgesic,31-50,none
160.58,23.55,59.92,cardiovascular,antiviral,31-50,none
201.85,38.75,36.06,analgesic,cardiovascular,31-50,moderate
789.58,24.72,46.52,analgesic,antidepressant,70+,mild
686.55,7.02,71.54,antiviral,antiviral,31-50,mild
260.62,9.64,65.06,antidepressant,anti-inflammatory,70+,moderate
318.8,39.27,8.87,antidepressant,analgesic,31-50,none
597.15,39.6,27.95,antiviral,antibiotic,70+,moderate
357.57,7.49,42.47,cardiovascular,antiviral,31-50,none
229.54,26.43,42.03,antiviral,cardiovascular,70+,none
296.79,13.26,22.03,analgesic,antidepressant,31-50,mild
717.37,33.01,53.2,antibiotic,antiviral,18-30,moderate
158.53,10.89,59.11,antibiotic,cardiovascular,18-30,none
285.63,29.57,38.46,antidepressant,antidepressant,51-70,none
218.68,6.59,66.09,cardiovascular,cardiovascular,70+,none
483.75,39.02,14.34,antidepressant,cardiovascular,18-30,mild
571.45,7.45,63.21,antiviral,analgesic,18-30,moderate
731.16,9.43,3.03,antiviral,anti-inflammatory,31-50,none
204.64,21.63,11.69,anti-inflammatory,cardiovascular,31-50,moderate
184.55,13.7,7.94,antiviral,cardiovascular,51-70,none
411.75,29.74,38.6,cardiovascular,anti-inflammatory,31-50,none
592.75,32.35,69.09,antibiotic,analgesic,18-30,mild
192.8,5.14,17.08,anti-inflammatory,antiviral,51-70,none
404.74,5.16,53.11,antiviral,antidepressant,31-50,none
563.98,35.32,21.45,analgesic,analgesic,18-30,mild
740.06,31.14,53.48,antiviral,antibiotic,18-30,moderate
365.9,22.82,69.32,antiviral,cardiovascular,31-50,none
163.54,48.72,63.57,antibiotic,antiviral,51-70,moderate
457.99,0.15,63.0,cardiovascular,analgesic,18-30,mild
161.3,34.03,21.64,antibiotic,anti-inflammatory,31-50,mild
215.0,40.21,24.83,cardiovascular,antiviral,31-50,none
504.71,33.2,19.0,cardiovascular,analgesic,51-70,mild
486.59,33.23,62.42,anti-inflammatory,cardiovascular,18-30,mild
595.76,36.44,2.47,cardiovascular,antibiotic,51-70,mild
308.84,37.08,70.1,antidepressant,antibiotic,51-70,mild
276.0,47.75,46.35,antidepressant,antiviral,51-70,mild
772.9,26.39,19.84,antiviral,antidepressant,70+,none
404.17,20.92,71.57,antidepressant,antibiotic,18-30,none
548.04,21.73,33.31,antidepressant,antidepressant,18-30,none
155.42,46.37,11.45,antiviral,antibiotic,31-50,mild
255.69,24.39,5.59,antidepressant,analgesic,31-50,mild
291.26,41.29,9.76,cardiovascular,antidepressant,18-30,mild
182.44,6.97,63.39,anti-inflammatory,antiviral,70+,moderate
514.49,47.69,51.64,antibiotic,antiviral,18-30,mild
292.26,23.71,26.18,antiviral,antiviral,31-50,none
409.42,45.22,64.41,antidepressant,anti-inflammatory,31-50,none
359.61,28.95,49.52,antibiotic,antidepressant,18-30,none
510.28,15.12,7.08,anti-inflammatory,antiviral,31-50,mild
692.0,4.89,38.39,antiviral,antidepressant,31-50,moderate
595.36,17.94,26.15,cardiovascular,cardiovascular,70+,none
167.17,38.36,7.28,antibiotic,anti-inflammatory,70+,moderate
661.31,29.06,27.49,anti-inflammatory,anti-inflammatory,70+,mild
699.32,6.38,48.58,cardiovascular,anti-inflammatory,31-50,none
185.33,2.83,59.92,antiviral,analgesic,31-50,none
462.95,16.63,5.32,antiviral,anti-inflammatory,51-70,mild
630.59,2.75,15.56,antibiotic,anti-inflammatory,51-70,mild
589.19,42.63,22.36,antidepressant,antiviral,70+,none
154.19,24.3,49.83,analgesic,analgesic,18-30,none
212.96,10.29,34.64,anti-inflammatory,cardiovascular,31-50,none
751.93,15.07,35.34,antibiotic,antibiotic,51-70,none
592.86,42.98,44.82,cardiovascular,antibiotic,51-70,none
270.13,40.95,47.68,antibiotic,anti-inflammatory,51-70,none
338.52,33.41,69.1,cardiovascular,antidepressant,51-70,moderate
404.27,34.91,8.62,cardiovascular,cardiovascular,18-30,none
403.13,29.07,3.42,antiviral,antiviral,51-70,mild
177.71,45.36,69.36,cardiovascular,antiviral,31-50,none
475.41,43.07,15.97,antiviral,anti-inflammatory,31-50,none
190.8,32.83,25.98,antiviral,anti-inflammatory,31-50,none
330.92,38.15,22.51,cardiovascular,analgesic,70+,none
569.34,18.89,34.49,antiviral,antibiotic,31-50,severe
491.53,6.56,24.01,anti-inflammatory,antidepressant,31-50,none
689.43,3.47,3.1,antiviral,antibiotic,18-30,mild
591.56,16.25,17.44,antiviral,antibiotic,18-30,mild
722.49,36.44,28.27,cardiovascular,analgesic,18-30,moderate
637.46,22.13,27.58,antiviral,analgesic,70+,mild
358.75,34.97,27.81,antiviral,anti-inflammatory,31-50,none
591.25,11.35,53.69,cardiovascular,anti-inflammatory,51-70,mild
274.99,29.15,45.67,antiviral,analgesic,18-30,none
383.71,20.46,39.81,analgesic,antidepressant,18-30,none
624.49,45.56,46.6,cardiovascular,antibiotic,51-70,none
378.87,30.96,40.67,antibiotic,analgesic,31-50,none
556.56,43.71,41.41,antibiotic,anti-inflammatory,31-50,moderate
540.97,16.61,16.91,antidepressant,antidepressant,31-50,mild
382.64,43.63,12.21,antidepressant,analgesic,31-50,none
547.31,15.68,44.92,anti-inflammatory,antiviral,70+,moderate
528.8,46.85,70.93,antiviral,analgesic,18-30,none
727.22,3.06,15.5,antiviral,antidepressant,70+,mild
581.17,43.93,17.73,analgesic,anti-inflammatory,70+,none
172.99,49.05,68.44,anti-inflammatory,antiviral,51-70,none
202.39,27.62,68.21,antidepressant,antiviral,18-30,mild
572.72,21.63,22.54,antibiotic,analgesic,70+,mild
167.13,39.11,14.93,anti-inflammatory,cardiovascular,51-70,none
183.89,38.31,50.38,cardiovascular,antiviral,31-50,none
239.55,21.95,64.7,antidepressant,antidepressant,18-30,none
300.82,29.47,17.13,antiviral,anti-inflammatory,31-50,none
794.11,0.84,52.11,analgesic,analgesic,18-30,none
354.18,30.16,64.22,antidepressant,antibiotic,51-70,none
461.16,6.21,6.45,antidepressant,anti-inflammatory,18-30,none
733.47,42.95,32.49,antidepressant,antidepressant,51-70,none
340.24,32.72,38.41,antidepressant,antidepressant,51-70,none
735.28,35.3,45.15,antidepressant,analgesic,18-30,none
239.14,48.8,17.37,antiviral,anti-inflammatory,18-30,none
242.27,48.9,50.58,antiviral,cardiovascular,70+,mild
163.84,41.83,20.19,anti-inflammatory,cardiovascular,31-50,none
705.47,19.26,2.34,cardiovascular,cardiovascular,31-50,none
295.89,19.03,47.85,anti-inflammatory,analgesic,51-70,moderate
759.2,45.51,54.57,antidepressant,antidepressant,51-70,mild
534.12,37.89,25.21,anti-inflammatory,cardiovascular,70+,mild
639.06,40.39,40.28,antiviral,antiviral,31-50,none
794.08,26.78,31.09,antiviral,anti-inflammatory,51-70,none
453.77,49.63,17.91,analgesic,antidepressant,51-70,severe
768.13,4.37,18.75,anti-inflammatory,antidepressant,31-50,none
385.1,33.0,56.55,anti-inflammatory,analgesic,18-30,mild
519.49,16.12,19.78,antibiotic,cardiovascular,31-50,none
777.83,24.06,60.95,antibiotic,cardiovascular,18-30,mild
760.24,13.89,44.33,antidepressant,analgesic,31-50,none
318.7,24.8,17.15,antibiotic,antibiotic,70+,moderate
576.39,11.71,47.48,antibiotic,antiviral,31-50,mild
509.72,11.47,68.57,antidepressant,antidepressant,18-30,none
699.21,42.49,39.37,analgesic,anti-inflammatory,18-30,mild
223.57,3.96,15.49,anti-inflammatory,antidepressant,51-70,mild
592.66,3.66,31.28,antidepressant,antibiotic,18-30,none
783.81,44.88,27.6,antidepressant,anti-inflammatory,18-30,none
389.4,14.61,11.65,anti-inflammatory,analgesic,18-30,none
615.25,37.13,56.63,antiviral,antidepressant,70+,mild
396.25,29.18,47.65,antibiotic,cardiovascular,51-70,none
773.11,49.62,41.14,anti-inflammatory,antiviral,31-50,none
421.75,36.68,61.18,anti-inflammatory,analgesic,51-70,none
356.01,9.83,41.84,antibiotic,antidepressant,18-30,none
648.97,18.16,33.36,antiviral,analgesic,51-70,none
416.45,4.08,40.79,analgesic,antidepressant,51-70,mild
543.39,22.5,30.74,anti-inflammatory,antibiotic,70+,moderate
588.17,33.33,43.99,antidepressant,antidepressant,31-50,severe
202.98,21.11,70.81,anti-inflammatory,cardiovascular,51-70,none
719.66,0.87,9.58,antidepressant,anti-inflammatory,51-70,none
455.41,5.14,62.73,cardiovascular,analgesic,51-70,moderate
713.47,45.94,65.2,antidepressant,antibiotic,31-50,none
512.01,35.63,9.45,antidepressant,anti-inflammatory,51-70,moderate
197.94,46.04,68.44,cardiovascular,antiviral,31-50,mild
692.62,14.54,34.87,antibiotic,antiviral,18-30,moderate
758.8,4.28,64.59,anti-inflammatory,anti-inflammatory,31-50,none
572.11,19.03,32.14,anti-inflammatory,antiviral,31-50,mild
343.28,17.12,41.05,anti-inflammatory,anti-inflammatory,31-50,none
753.23,14.33,28.27,antibiotic,antibiotic,18-30,moderate
625.14,21.58,20.76,anti-inflammatory,antidepressant,18-30,none
335.11,6.02,20.44,cardiovascular,antibiotic,70+,none
792.72,37.7,66.64,antiviral,antidepressant,18-30,moderate
284.45,41.96,54.6,analgesic,anti-inflammatory,70+,mild
669.34,0.43,60.11,analgesic,antidepressant,18-30,none
762.17,28.6,52.98,anti-inflammatory,antibiotic,51-70,mild
609.11,42.25,32.55,cardiovascular,cardiovascular,31-50,mild
711.93,49.65,52.95,analgesic,antidepressant,51-70,none
198.33,7.92,24.81,cardiovascular,antiviral,51-70,none
586.85,3.8,49.84,analgesic,cardiovascular,18-30,mild
273.76,27.95,60.47,antiviral,analgesic,70+,none
557.74,12.37,42.63,antibiotic,antiviral,18-30,none
271.62,24.89,10.36,antiviral,analgesic,70+,none
707.15,37.5,1.23,analgesic,cardiovascular,31-50,moderate
421.8,13.23,28.0,anti-inflammatory,antibiotic,51-70,moderate
464.75,32.88,13.78,antidepressant,antibiotic,70+,none
559.52,29.93,39.58,antidepressant,analgesic,18-30,none
775.9,44.85,55.24,cardiovascular,cardiovascular,31-50,none
452.08,16.01,9.06,antiviral,cardiovascular,51-70,none
652.89,24.24,58.14,cardiovascular,anti-inflammatory,31-50,none
479.87,44.5,56.58,analgesic,anti-inflammatory,51-70,mild
320.04,15.95,28.79,cardiovascular,cardiovascular,31-50,mild
623.32,17.06,59.12,antidepressant,cardiovascular,31-50,moderate
522.13,8.41,15.64,antiviral,analgesic,70+,none
543.22,1.09,52.28,cardiovascular,analgesic,51-70,mild
366.64,17.7,55.39,analgesic,antiviral,18-30,none
790.39,41.92,29.08,antiviral,antibiotic,31-50,severe
254.91,18.76,30.35,anti-inflammatory,antiviral,18-30,moderate
640.83,26.38,36.61,cardiovascular,analgesic,18-30,moderate
345.95,11.58,55.84,antibiotic,analgesic,31-50,mild
575.93,6.65,53.58,antidepressant,analgesic,18-30,mild
477.93,35.2,53.02,analgesic,analgesic,51-70,none
212.11,29.45,28.77,anti-inflammatory,antidepressant,51-70,none
426.35,37.2,22.45,cardiovascular,antibiotic,18-30,mild
394.78,21.53,16.78,cardiovascular,anti-inflammatory,31-50,none
334.87,35.17,36.97,cardiovascular,analgesic,70+,mild
645.76,35.76,33.11,anti-inflammatory,analgesic,31-50,none
300.88,18.55,40.98,antiviral,antidepressant,31-50,mild
212.0,8.55,62.4,cardiovascular,anti-inflammatory,18-30,none
241.86,30.86,34.62,antiviral,anti-inflammatory,51-70,mild
417.71,37.05,60.24,analgesic,antidepressant,51-70,none
539.17,43.58,20.04,antibiotic,anti-inflammatory,51-70,none
573.81,16.16,51.33,anti-inflammatory,anti-inflammatory,70+,none
795.29,4.16,8.46,antiviral,analgesic,31-50,none
636.3,8.39,32.07,analgesic,analgesic,70+,none
471.87,31.35,38.25,antibiotic,antiviral,70+,moderate
226.43,49.79,52.12,antiviral,antidepressant,31-50,none
549.82,18.64,47.17,antibiotic,antidepressant,31-50,none
614.41,26.02,18.84,cardiovascular,antibiotic,70+,moderate
752.6,36.03,61.52,antibiotic,antibiotic,31-50,mild
420.6,7.6,5.76,analgesic,antidepressant,51-70,none
279.52,4.78,33.56,analgesic,analgesic,51-70,none
563.62,44.18,25.49,analgesic,antibiotic,31-50,none
683.49,43.42,42.5,antidepressant,antidepressant,51-70,none
501.66,33.0,6.5,antibiotic,analgesic,51-70,mild
331.99,13.22,8.26,anti-inflammatory,anti-inflammatory,51-70,none
704.71,30.28,69.63,antiviral,anti-inflammatory,51-70,mild
457.71,8.49,56.62,antibiotic,analgesic,70+,none
459.05,0.11,6.52,analgesic,antibiotic,31-50,none
435.8,33.28,24.22,anti-inflammatory,analgesic,18-30,none
609.06,17.81,60.54,antidepressant,anti-inflammatory,18-30,mild
543.5,10.77,12.79,antiviral,antidepressant,51-70,mild
468.56,39.47,49.66,anti-inflammatory,cardiovascular,51-70,none
265.71,43.32,61.73,antiviral,antidepressant,51-70,none
798.64,46.98,28.15,antibiotic,antiviral,70+,severe
277.29,18.11,14.84,anti-inflammatory,antidepressant,31-50,moderate
476.82,0.75,20.38,antiviral,antidepressant,51-70,none
408.89,49.79,51.0,antidepressant,antiviral,18-30,none
616.72,23.59,44.14,cardiovascular,cardiovascular,18-30,none
637.46,32.41,39.74,analgesic,analgesic,31-50,none
608.67,8.93,61.42,analgesic,cardiovascular,51-70,none
227.63,22.22,51.45,antidepressant,analgesic,70+,none
575.82,36.9,24.62,antiviral,antidepressant,70+,moderate
259.99,49.31,52.27,antidepressant,anti-inflammatory,18-30,none
584.02,3.17,14.7,anti-inflammatory,antibiotic,51-70,none
204.58,22.23,20.56,antibiotic,antiviral,31-50,moderate
694.61,0.26,20.44,antidepressant,analgesic,31-50,moderate
519.31,34.84,41.2,cardiovascular,analgesic,18-30,severe
270.68,29.6,69.57,antibiotic,analgesic,18-30,none
393.44,4.16,52.42,antibiotic,antidepressant,51-70,none
274.21,37.82,10.42,analgesic,cardiovascular,51-70,none
265.7,7.11,23.4,antibiotic,antibiotic,31-50,mild
318.58,22.04,7.56,antidepressant,anti-inflammatory,31-50,moderate
652.04,26.2,59.89,antiviral,antibiotic,18-30,moderate
499.67,10.61,50.86,antidepressant,antiviral,51-70,none
667.58,10.45,50.68,anti-inflammatory,anti-inflammatory,51-70,mild
652.72,12.98,34.21,analgesic,analgesic,31-50,none
560.22,23.81,34.17,antidepressant,antidepressant,31-50,none
359.54,5.32,26.48,analgesic,antibiotic,31-50,none
367.56,32.43,8.11,antidepressant,antidepressant,18-30,none
435.36,30.87,43.14,antiviral,cardiovascular,51-70,none
457.82,12.26,52.36,anti-inflammatory,antidepressant,31-50,none
753.84,11.79,67.37,anti-inflammatory,analgesic,31-50,none
653.15,47.7,29.45,analgesic,antibiotic,31-50,moderate
777.4,47.15,15.09,anti-inflammatory,antibiotic,18-30,none
366.55,48.0,69.89,antidepressant,antibiotic,51-70,none
150.55,7.46,63.69,antidepressant,antidepressant,18-30,none
303.52,10.25,7.4,antibiotic,antibiotic,51-70,mild
460.27,17.3,34.43,antiviral,cardiovascular,51-70,none
743.34,33.45,60.03,antiviral,antibiotic,51-70,severe
645.98,6.76,55.9,antidepressant,antiviral,51-70,mild
425.99,19.75,6.09,cardiovascular,antiviral,51-70,none
545.54,38.42,27.21,antidepressant,anti-inflammatory,51-70,none
546.87,37.61,65.94,antiviral,antibiotic,18-30,moderate
433.01,17.05,47.44,cardiovascular,antibiotic,31-50,mild
401.43,41.08,3.47,cardiovascular,antibiotic,18-30,none
452.2,4.22,49.71,analgesic,antiviral,70+,none
672.31,0.71,23.65,anti-inflammatory,anti-inflammatory,31-50,none
773.95,20.14,55.77,antidepressant,cardiovascular,31-50,severe
562.18,30.22,57.97,cardiovascular,anti-inflammatory,31-50,none
497.77,18.31,56.77,cardiovascular,anti-inflammatory,51-70,none
715.7,4.09,1.49,antiviral,anti-inflammatory,31-50,none
716.93,21.8,34.0,analgesic,analgesic,70+,mild
449.16,2.6,43.55,antidepressant,antidepressant,31-50,none
165.29,13.44,21.82,cardiovascular,analgesic,31-50,none
343.49,1.88,8.93,antiviral,analgesic,31-50,none
497.74,6.39,11.27,cardiovascular,cardiovascular,70+,mild
374.5,22.96,44.82,antiviral,anti-inflammatory,31-50,mild
174.89,30.51,52.39,analgesic,cardiovascular,31-50,mild
621.51,16.95,46.21,antidepressant,cardiovascular,31-50,severe
619.04,37.16,6.63,cardiovascular,analgesic,51-70,severe
521.08,49.75,44.71,anti-inflammatory,antibiotic,51-70,moderate
289.89,46.78,20.51,antiviral,antibiotic,31-50,moderate
586.44,30.27,65.59,antiviral,antidepressant,31-50,none
419.31,6.58,19.96,anti-inflammatory,antiviral,31-50,none
293.86,1.0,24.05,analgesic,anti-inflammatory,31-50,none
532.14,31.78,24.34,cardiovascular,cardiovascular,70+,none
158.17,17.1,25.59,cardiovascular,antibiotic,31-50,none
603.52,33.68,19.15,analgesic,antiviral,70+,none
779.02,31.61,40.85,antidepressant,analgesic,18-30,mild
339.68,15.84,48.89,analgesic,antibiotic,51-70,none
258.38,17.65,31.64,analgesic,antidepressant,31-50,none
748.76,6.67,44.11,analgesic,analgesic,31-50,mild
287.35,5.62,21.54,antibiotic,antiviral,70+,mild
291.54,45.03,20.8,antidepressant,antiviral,18-30,none
725.09,48.02,55.08,antidepressant,anti-inflammatory,31-50,none
471.64,23.25,59.66,cardiovascular,antibiotic,70+,moderate
265.46,14.49,38.82,antidepressant,cardiovascular,51-70,moderate
527.1,20.96,30.7,antibiotic,antiviral,18-30,mild
295.73,30.52,36.74,analgesic,anti-inflammatory,31-50,none
546.38,8.41,45.41,antiviral,analgesic,70+,none
164.77,30.11,57.08,cardiovascular,anti-inflammatory,31-50,none
447.55,36.18,17.99,cardiovascular,antiviral,70+,moderate
359.77,14.72,64.51,antibiotic,anti-inflammatory,31-50,mild
793.31,39.86,70.07,anti-inflammatory,antiviral,18-30,moderate
542.6,16.63,66.33,antibiotic,antibiotic,31-50,none
171.01,33.88,62.56,cardiovascular,cardiovascular,18-30,none
421.11,13.08,51.83,analgesic,antiviral,51-70,none
165.42,24.09,52.55,antidepressant,cardiovascular,51-70,mild
621.35,2.09,29.36,anti-inflammatory,antiviral,51-70,none
244.89,13.2,59.59,analgesic,antiviral,18-30,none
418.38,17.06,65.82,cardiovascular,antibiotic,31-50,none
447.86,35.48,54.43,antidepressant,antidepressant,31-50,moderate
439.04,39.39,50.67,anti-inflammatory,antidepressant,31-50,none
